lemma	pos	freq
tropp	s	2444
sigadus	s	2441
kukkel	s	2441
mudane	a	2440
kodar	s	2433
koduka	s	2429
nigu	s	2428
loto	s	2423
kobe	a	2417
lepp	s	2417
äpardus	s	2412
ligu	s	2412
mõttetus	s	2408
kapuuts	s	2404
breket	s	2400
edendav	a	2391
käkk	s	2390
tubane	a	2389
lõppenud	a	2387
kupee	s	2380
pettur	s	2379
rekka	s	2369
tukk	s	2360
litter	s	2360
lade	s	2354
tabav	a	2347
batuut	s	2338
kükk	s	2322
kukeseen	s	2317
agar	a	2317
kaka	s	2302
suguline	a	2299
utoopia	s	2288
deposiit	s	2287
lapik	a	2283
kogetu	s	2282
kogemine	s	2282
mekk	s	2267
lõpus	s	2265
hapukas	a	2249
cid	s	2236
sädelev	a	2231
võttev	a	2227
rikkuja	s	2223
tagav	a	2221
hakkaja	a	2212
lugem	s	2198
ligimene	s	2192
mäger	s	2192
õpetlane	s	2188
populism	s	2181
käputäis	s	2178
ebakõla	s	2178
ateist	s	2172
lubi	s	2151
nagi	s	2150
tappev	a	2141
edevus	s	2140
tagatuli	s	2138
gluteen	s	2138
tagajalg	s	2114
idamaa	s	2108
papi	s	2106
nutune	a	2105
digiboks	s	2087
higine	a	2087
pedofiil	s	2085
kätetöö	s	2081
ader	s	2081
pede	s	2079
tõkkepuu	s	2076
dokk	s	2065
magav	a	2061
võtt	s	2053
regilaul	s	2046
sugulus	s	2044
rikkur	s	2039
jutuke	s	2037
vedelev	a	2031
kodulaen	s	2031
hädine	a	2024
vabastav	a	2022
fotokala	s	2022
madalik	s	2019
kippuv	a	2018
nädalake	s	2016
okupant	s	2014
õpitav	a	2000
vibu	s	1996
kaduv	a	1996
lagendik	s	1996
vedav	a	1990
dekaan	s	1989
häbelik	a	1988
pakiruum	s	1987
nikotiin	s	1987
edumaa	s	1982
ripats	s	1975
rebimine	s	1967
rokk	s	1965
mokk	s	1960
mugul	s	1947
õppekäik	s	1941
makett	s	1925
opi	s	1923
aka	s	1913
plugin	s	1908
grupitöö	s	1907
näpuots	s	1905
libedus	s	1903
mugu	s	1902
lõpparve	s	1901
lageraie	s	1894
läbinu	s	1891
buduaar	s	1891
tüdimus	s	1873
šokeeriv	a	1871
tutt	s	1867
kobar	s	1866
tapamaja	s	1866
vabastus	s	1866
edit	s	1862
uputus	s	1861
bikiinid	s	1848
hädaoht	s	1845
ebola	s	1843
kratt	s	1842
sekeldus	s	1842
sapp	s	1840
pakike	s	1840
hetero	s	1839
liköör	s	1838
vrakk	s	1837
kogutav	a	1828
viperus	s	1825
proge	s	1823
pokaal	s	1823
kodanlik	a	1817
nakkav	a	1816
lubav	a	1813
tegeleja	s	1812
tüdinud	a	1808
but	s	1807
kiku	s	1807
roppus	s	1806
vigane	s	1797
kokaiin	s	1789
kodumaja	s	1780
media	s	1777
kägu	s	1773
jubin	s	1759
pop	s	1756
kütteõli	s	1752
redis	s	1745
netipood	s	1744
jututuba	s	1742
sebimine	s	1742
jupike	s	1737
kotitäis	s	1732
vabaaeg	s	1731
koppel	s	1728
tib	s	1724
meta	s	1720
product	s	1718
madal	s	1718
etalon	s	1716
metal	s	1684
modem	s	1682
pakatav	a	1679
nutikus	s	1675
tagauks	s	1675
ebay	s	1673
egiid	s	1671
katt	s	1669
sugupool	s	1668
abitus	s	1666
lobitöö	s	1660
paganlik	a	1658
statu	s	1658
dogi	s	1657
kuku	a	1654
vikat	s	1654
kagutuul	s	1648
rabav	a	1642
koduturg	s	1642
metaan	s	1641
jäte	s	1639
motikas	s	1633
supper	s	1630
petis	s	1630
data	s	1629
tagamõte	s	1621
kupong	s	1611
koduõu	s	1610
pütt	s	1608
hoki	s	1608
läbimärg	a	1602
lepitus	s	1601
platoo	s	1598
rabe	a	1598
kogukulu	s	1593
nupuke	s	1588
öko	s	1588
tagaluuk	s	1582
hakkanud	a	1580
mäda	a	1573
kakk	s	1572
läte	s	1571
netileht	s	1567
täpike	s	1565
agenda	s	1564
about	s	1562
lapitekk	s	1560
koguv	a	1559
segisti	s	1557
hipi	s	1550
abipalve	s	1547
reg	s	1541
tegusõna	s	1538
kipp	s	1537
akord	s	1535
dot	s	1535
suguharu	s	1535
ideeauto	s	1534
krabi	s	1534
tutika	s	1532
sokkel	s	1525
igivana	a	1523
sidekude	s	1523
titaan	s	1523
kibuvits	s	1522
igastahe	s	1518
dekaad	s	1517
õpetatav	a	1514
kabala	s	1509
õpperada	s	1507
klikkida	s	1506
dig	s	1504
õppevorm	s	1501
hakkata	s	1499
lõpuaeg	s	1499
etanool	s	1499
mõttetöö	s	1496
koduriik	s	1488
ite	s	1488
lepitaja	s	1486
tädike	s	1484
loba	s	1483
retuusid	s	1482
kadastik	s	1481
lepik	s	1480
libe	s	1478
läbipääs	s	1474
räppar	s	1471
rattatee	s	1471
videvik	s	1468
pakutu	s	1466
koduküla	s	1466
katalaan	s	1465
akordion	s	1463
latikas	s	1462
vip	s	1459
uppumine	s	1451
shokk	s	1450
rogain	s	1447
strateeg	s	1446
libesti	s	1446
klopp	s	1444
hapukurk	s	1441
vabanev	a	1440
kaguosa	s	1440
dekoltee	s	1439
jagatav	a	1435
magamata	a	1435
ladumine	s	1432
hot	s	1432
segaja	s	1430
kokkuost	s	1428
koduuks	s	1420
piduline	s	1418
superhea	a	1415
siga	a	1415
tugijaam	s	1414
libisev	a	1413
tugevune	a	1410
sagimine	s	1409
koge	s	1406
abu	s	1403
tagahoov	s	1402
läkitus	s	1399
napakas	a	1396
tagasein	s	1394
läbu	s	1392
blokaad	s	1392
blogiss	s	1391
suge	s	1387
node	s	1386
sepikoda	s	1386
idakaar	s	1384
idiootne	a	1380
robustne	a	1380
depoo	s	1375
läbimüük	s	1368
papu	s	1367
laguun	s	1367
magusus	s	1365
lüke	s	1364
tagakaas	s	1361
klikka	s	1358
ragin	s	1354
õpipoiss	s	1353
egoism	s	1352
botaanik	s	1349
taburet	s	1347
rägastik	s	1347
abivajav	a	1342
tõbine	a	1342
näpukas	s	1337
neto	s	1337
hütt	s	1335
reket	s	1334
nikkel	s	1331
reduktor	s	1330
kodusein	s	1324
rikkis	a	1323
akustika	s	1320
budist	s	1314
make	s	1310
pagulus	s	1306
nett	s	1303
mapp	s	1303
support	s	1302
rake	s	1297
happesus	s	1297
vatiin	s	1296
rate	s	1296
täke	s	1291
sättumus	s	1290
stopper	s	1289
tupik	s	1286
vabalevi	s	1284
kadalipp	s	1283
opp	s	1283
sat	s	1280
natuur	s	1275
hädaline	s	1268
udutuli	s	1268
judaism	s	1268
käpik	s	1267
mate	s	1267
hagijas	s	1266
site	s	1263
tugevdav	a	1260
pubekas	a	1260
nibu	s	1259
ebausk	s	1256
tegeldud	a	1255
jagav	a	1254
dattel	s	1253
rebend	s	1249
täpiline	a	1249
kittel	s	1246
vakk	s	1245
agility	s	1243
koputus	s	1241
motell	s	1237
netopalk	s	1237
tagi	s	1235
utt	s	1234
pidulaud	s	1233
jutustav	a	1232
suguelu	s	1232
tid	s	1231
nokaut	s	1230
trading	s	1229
get	s	1229
patogeen	s	1228
vabaturg	s	1226
näputöö	s	1223
rikkuv	a	1222
debiilik	s	1221
vabakava	s	1221
lab	s	1220
satanist	s	1219
käterätt	s	1217
kodukino	s	1210
products	s	1209
sigar	s	1208
lipiid	s	1208
pid	s	1207
kuduja	s	1206
dopamiin	s	1205
kitt	s	1204
lõpetav	a	1202
madin	s	1200
vabavise	s	1199
edelaosa	s	1198
apollo	s	1198
tegumood	s	1192
iteks	s	1191
geto	s	1190
odavus	s	1189
pete	s	1189
jubedus	s	1187
tagastus	s	1185
gabariit	s	1184
sogane	a	1183
tagapõhi	s	1181
operett	s	1179
abiruum	s	1178
spagett	s	1178
metalne	a	1177
mõteka	s	1169
totu	s	1166
idüll	s	1162
mõtekam	s	1161
idaserv	s	1160
sakk	s	1160
veganlus	s	1159
taguots	s	1156
õpetav	a	1155
ladus	a	1152
flopp	s	1149
bruto	s	1143
ateism	s	1141
idealism	s	1140
tugevnev	a	1138
õppeaeg	s	1136
bike	s	1136
koguteos	s	1135
ideeline	a	1135
nukufilm	s	1134
kogunev	a	1133
tagaots	s	1132
natu	s	1130
kodukulu	s	1127
jupiter	s	1125
odavise	s	1122
ndate	s	1122
pikivahe	s	1120
pigi	s	1118
set	s	1117
koba	s	1116
tapetu	s	1116
hakatus	s	1114
bad	s	1106
detektor	s	1105
magasin	s	1105
koger	s	1101
vokk	s	1100
ebamaine	a	1100
nutikell	s	1095
trapets	s	1094
nobe	a	1094
magaja	s	1091
mõttekus	s	1087
made	s	1087
vapustus	s	1086
satiir	s	1085
ebajumal	s	1084
takk	s	1083
open	s	1080
kodutalu	s	1080
magevesi	s	1080
mid	s	1078
akupank	s	1075
spido	s	1073
nakatunu	s	1072
liturgia	s	1072
judo	s	1072
stopp	s	1065
age	s	1062
pügal	s	1059
ebaedu	s	1058
pugemine	s	1058
tab	s	1054
kattuv	a	1052
fotokas	s	1051
vägitegu	s	1046
hapupiim	s	1046
lõbustus	s	1043
ebapädev	a	1041
mädane	a	1040
sekk	s	1038
nud	s	1038
kabi	s	1038
hubasus	s	1037
pidusöök	s	1037
mutant	s	1036
suguühe	s	1035
kopeer	s	1034
kukkur	s	1033
regamine	s	1032
spikker	s	1030
ekipaaž	s	1030
kõpp	s	1029
shit	s	1029
stepp	s	1028
hepatiit	s	1027
kokandus	s	1022
kube	s	1021
päkk	s	1021
kodulind	s	1019
rabi	s	1019
big	s	1018
satanism	s	1017
agu	s	1015
kübe	s	1013
näkk	s	1011
jaburus	s	1010
äpu	a	1006
tikker	s	1005
uppuv	a	1003
nuttev	a	1001
batoon	s	999
kapiuks	s	998
nadi	a	998
kukkuv	a	998
taba	s	995
vägilane	s	995
brokoli	s	991
egoist	s	991
motoorne	a	991
näpe	s	990
pagi	s	990
kadunuke	s	989
kodupaik	s	983
šikk	a	983
õpiränne	s	982
sattunu	s	981
abivägi	s	979
pikett	s	978
segatu	s	977
mupo	s	977
kodurahu	s	977
fataalne	a	976
mägitee	s	974
pagass	s	973
eterniit	s	972
lodi	s	971
ikaldus	s	970
hukatus	s	970
sagin	s	970
medõde	s	968
hädaabi	s	968
vutimuna	s	967
totakas	a	964
pakiline	a	964
jep	s	964
sõge	a	958
debiilne	a	958
kubatuur	s	957
blogist	s	955
vik	s	954
nodi	s	953
lipik	s	952
topis	s	951
tuttuus	a	951
läpakas	s	950
videode	s	950
lebav	a	950
megavatt	s	950
sädelus	s	945
koduvald	s	945
sügavik	s	945
sugupõlv	s	944
vabavara	s	941
blogiga	s	936
trikoo	s	933
tugevdus	s	933
gup	s	932
trip	s	932
tikutuli	s	931
setter	s	930
kodukass	s	929
red	s	928
koduväi	s	927
koduõpe	s	926
sitane	a	923
sidevõrk	s	917
item	s	917
kupüür	s	917
põdemine	s	916
veto	s	916
catering	s	915
dega	s	913
sepik	s	908
ladin	s	908
nõgus	a	904
sodiaak	s	904
pidand	s	903
kidur	a	903
sügelev	a	902
tagatiib	s	902
koduhoov	s	902
plagiaat	s	902
läbimatu	a	900
pakiraam	s	900
kakumägi	s	900
plätu	s	897
vader	s	893
modern	a	892
kogupind	s	891
lapike	s	891
vabadik	s	891
sed	s	890
midag	s	889
sokolaad	s	889
sõdimine	s	888
pettunu	s	885
sakiline	a	883
pudi	s	882
nugis	s	882
libiido	s	879
lateks	s	879
mob	s	878
täpitäht	s	877
kogukas	a	876
õppevara	s	876
hagu	s	874
ebaterve	a	872
pügamine	s	871
futuur	s	869
tatikas	s	868
sigala	s	868
pett	s	867
ikkag	s	864
tabamatu	a	863
agoonia	s	863
täbar	a	863
ideoloog	s	862
lõbusõit	s	862
oga	s	857
setting	s	857
mite	s	856
code	s	855
mutike	s	855
tatine	a	854
akuutne	a	852
trukk	s	851
radikas	s	851
logitu	s	851
sidus	a	851
ligidus	s	849
klikate	s	847
tagaaed	s	846
tagaruum	s	843
pediküür	s	842
tribunal	s	841
kodusaal	s	839
logistik	s	839
pabul	s	838
soga	s	835
iba	s	831
etüüd	s	831
cat	s	830
sigimine	s	828
meka	s	828
okkaline	a	827
lego	s	827
digi	s	826
netopind	s	826
labasus	s	825
abisaaja	s	825
pederast	s	824
sikk	s	822
nadala	s	820
lekkiv	a	820
tibake	a	818
pedajas	s	817
tagurlik	a	812
edastus	s	811
nadi	s	811
catalog	s	811
podagra	s	810
õpiring	s	810
udukogu	s	809
lebo	s	808
med	s	807
sikupill	s	807
igatsugu	s	805
õpperühm	s	805
kupp	s	801
populist	s	800
negatiiv	s	799
utiliit	s	798
nõgi	s	797
noku	s	797
häbiasi	s	794
sapipõis	s	794
hobu	s	793
näpuviga	s	793
hädakisa	s	792
pagasnik	s	791
kattuvus	s	791
õppesõit	s	788
rikastav	a	788
segamets	s	788
idealist	s	787
üte	s	786
sügamine	s	784
pupill	s	784
madeira	s	784
fotojaht	s	784
kibedus	s	783
kräpp	s	782
atentaat	s	782
gigant	s	782
põgenev	a	781
bataat	s	781
idatuul	s	780
vitt	s	777
kagunurk	s	777
sapiens	s	777
akupaak	s	776
kat	s	775
vägevus	s	774
lobi	s	772
stop	s	770
klõbin	s	769
vedel	s	769
shopping	s	768
tag	s	768
mõtekas	s	767
uppuja	s	767
faking	s	766
sideaine	s	766
ipadi	s	765
lutikas	s	764
ned	s	762
kogutulu	s	761
möga	s	761
sügisilm	s	761
südasuvi	s	760
jobu	a	757
lokaal	s	757
tragi	a	756
pegasus	s	756
lõpuvile	s	755
judin	s	755
pikantne	a	755
literaat	s	755
lõpe	s	753
akutrell	s	750
rutt	s	749
sitikas	s	747
netovara	s	746
mädanik	s	745
fotokogu	s	744
kutu	s	743
lugemus	s	741
tape	s	741
vadi	s	738
sub	s	738
fake	s	737
